Year,Brazil,China,India,Japan,United States
1960,15165569912.5199,59716467625.3148,37029883875.4573,44307342950.4,543300000000.0
1961,15236854859.469,50056868957.6732,39232435784.0946,53508617739.3778,563300000000.0
1962,19926293839.0163,47209359005.6056,42161481858.7014,60723018683.7333,605100000000.0
1963,23021477292.2093,50706799902.5103,48421923458.7413,69498131797.3333,638600000000.0
1964,21211892259.9904,59708343488.5043,56480289940.8261,81749006381.5111,685800000000.0
1965,21790035117.19,70436266146.7219,59554854574.7942,90950278257.7778,743700000000.0
1966,27062716577.9111,76720285969.6157,45865462033.91,105628070343.111,815000000000.0
1967,30591834053.9653,72881631326.6715,50134942203.4467,123781880217.6,861700000000.0
1968,33875881876.3672,70846535055.6503,53085455870.8227,146601072685.511,942500000000.0
1969,37458898243.8609,79705906247.4612,58447995016.8493,172204199480.889,1019900000000.0
1970,42327600098.2412,92602973434.0726,62422483054.5173,212609187920.833,1073303000000.0
1971,49204456700.4516,99800958648.1436,67350988020.9041,240151807459.955,1164850000000.0
1972,58539008786.3684,113687586299.051,71463193830.4064,318031297492.682,1279110000000.0
1973,79279057730.82901,138544284708.957,85515269585.5221,432082670451.08704,1425376000000.0
1974,105136007528.76,144182133387.722,99525899115.7756,479625998614.775,1545243000000.0
1975,123709376567.89,163431551779.761,98472796457.114,521541905671.90295,1684904000000.0
1976,152678020452.829,153940455341.50598,102717164465.894,586161859001.02,1873412000000.0
1977,176171284311.76102,174938098826.569,121487322474.298,721411786537.187,2081826000000.0
1978,200800891870.164,149540752829.268,137300295308.038,1013612173519.79,2351599000000.0
1979,224969488835.18103,178280594413.043,152991653792.864,1055012119528.16,2627334000000.0
1980,235024598983.26105,191149211575.0,186325345089.754,1105385973763.87,2857307000000.0
1981,263561088977.129,195866382432.54,193490610032.1,1218988935129.81,3207042000000.0
1982,281682304161.041,205089699858.779,200715145360.918,1134518001884.56,3343789000000.0
1983,203304515490.795,230686747153.257,218262273410.099,1243323592058.83,3634038000000.0
1984,209023912696.839,259946510957.143,212158234164.06,1318381627003.76,4037613000000.0
1985,222942790435.2989,309488028132.653,232511877842.04105,1398892744820.69,4338979000000.0
1986,268137224729.722,300758100107.24603,248985994044.2,2078953333673.55,4579631000000.0
1987,294084112392.66,272972974764.574,279033584092.159,2532808573157.03,4855215000000.0
1988,330397381998.489,312353631207.819,296588994812.05896,3071683013178.91,5236438000000.0
1989,425595310000.0,347768051311.741,296042354986.12604,3054914166263.18,5641580000000.0
1990,461951782000.0,360857912565.966,320979026419.633,3132817652848.04,5963144000000.0
1991,602860000000.0,383373318083.624,270105341879.226,3584420077100.84,6158129000000.0
1992,400599250000.0,426915712711.146,288208430383.964,3908809463463.86,6520327000000.0
1993,437798577639.752,444731282436.762,279296022987.919,4454143876947.21,6858559000000.0
1994,558111997497.263,564324670005.917,327275583539.55896,4907039384469.68,7287236000000.0
1995,769305386182.8491,734547898220.5079,360281952716.79706,5449116304981.1,7639749000000.0
1996,850426432991.7421,863746717503.7891,392897054348.07104,4833712542207.1,8073122000000.0
1997,883199625324.675,961603952951.82,415867753863.874,4414732843544.43,8577554463000.0
1998,863723411632.917,1029043097554.08,421351477504.743,4032509760872.94,9062818211000.0
1999,599388579985.673,1093997267271.06,458820417337.807,4562078822335.45,9630664202000.0
2000,655420645476.906,1211346869605.24,468394937262.37,4887519660744.86,10252345464000.0
2001,559372276081.9661,1339395718865.3,485441014538.6379,4303544259842.72,10581821399000.0
2002,507962487700.024,1470550015081.55,514937948870.08,4115116279069.77,10936419054000.0
2003,558319920831.979,1660287965662.68,607699285433.8721,4445658071221.86,11458243878000.0
2004,669316654017.094,1955347004963.27,709148514804.66,4815148854362.11,12213729147000.0
2005,891630177251.068,2285965892360.54,820381595512.902,4755410630912.14,13036640229000.0
2006,1107640289615.23,2752131773355.16,940259888792.141,4530377224970.4,13814611414000.0
2007,1397084349956.35,3550342425238.25,1216735441524.86,4515264514430.57,14451858650000.0
2008,1695824565983.2,4594306848763.08,1198895582137.51,5037908465114.48,14712844084000.0
2009,1667019783585.08,5101702432883.45,1341886602798.69,5231382674593.7,14448933025000.0
2010,2208871646202.82,6087164527421.24,1675615335600.56,5700098114744.41,14992052727000.0
2011,2616200980392.16,7551500425597.77,1823050405350.42,6157459594823.72,15542581104000.0
2012,2465188674415.03,8532230724141.76,1827637859135.7,6203213121334.12,16197007349000.0
2013,2472806919901.67,9570405758739.79,1856722121394.53,5155717056270.83,16784849190000.0
2014,2455993625159.37,10475682846632.2,2039127446298.55,4850413536037.84,17521746534000.0
2015,1802214373741.32,11061552790044.2,2103587817041.78,4389475622588.97,18219297584000.0
2016,1795700168991.49,11233277146512.2,2294797978291.98,4922538141454.62,18707188235000.0
2017,2062831045935.95,12310408652423.5,2652754685834.59,4866864409657.68,19485393853000.0
2018,1885482534238.33,13894817110036.3,2713165057513.35,4954806619995.19,20529049174601.5
2019,1839758040765.62,14342902842915.9,2875142314811.85,5081769542379.77,21374418877706.7
